rating,genre,year,score,votes,continent,runtime,gross
R,Horror,1983,6.7,13000,North America,128,15856028
PG,Action,1983,6.3,11000,North America,107,12232628
R,Comedy,1983,6.3,8200,North America,95,29309766
R,Drama,1983,7.3,16000,Europe,123,2306560
R,Comedy,1983,4.9,4200,North America,100,1246141
R,Comedy,1983,4.7,3000,North America,80,2082215
PG,Fantasy,1983,6.4,11000,North America,106,10219460
R,Comedy,1983,6.4,25000,North America,93,10353438
R,Action,1983,5.7,2900,North America,94,17488564
R,Horror,1983,6.3,7200,North America,101,7175592
R,Action,1983,6.4,9300,North America,105,30503151
R,Comedy,1983,5.2,5400,North America,89,10375893
R,Horror,1983,5.2,1900,North America,93,4319001
PG,Action,1983,4.9,3700,North America,96,13000000
PG,Action,1983,5,1500,Europe,111,1402962
PG,Comedy,1983,4.7,3900,North America,88,23646952
R,Action,1983,5,2100,North America,95,6149983
PG,Action,1983,5.5,5500,North America,90,16478265
PG,Action,1983,6.1,5100,North America,105,28445927
PG,Action,1983,7.5,7800,North America,105,29600000
G,Comedy,1983,7.1,3300,Europe,112,694497
PG,Animation,1983,6.5,3400,North America,77,30379
PG,Action,1983,4,3600,Europe,98,10676194
PG,Comedy,1983,7.2,13000,Europe,110,14648076
R,Drama,1983,4.3,1200,North America,83,5563663
R,Drama,1983,7,7200,North America,128,5696391
PG,Horror,1983,4.1,6000,South America,105,6333135
PG,Drama,1983,7,5800,North America,90,2044892
R,Action,1983,5.9,8200,North America,103,6486797
R,Action,1983,6.1,4700,North America,90,13168027
PG,Comedy,1983,7.7,41000,North America,79,11798616
PG,Comedy,1983,6.8,10000,North America,107,13030214
R,Drama,1983,6,3100,Europe,130,123572
R,Action,1983,4.7,1100,Europe,98,724912
R,Comedy,1983,5.6,7400,North America,91,15543710
PG,Action,1983,4.4,2900,Europe,88,2810199
R,Horror,1983,6.1,2900,North America,88,1080470
PG,Comedy,1983,4.3,5700,Europe,109,4491986
R,Action,1983,5.5,4400,North America,100,16134627
R,Drama,1983,5.7,1200,Europe,104,5997566
R,Comedy,1983,5.8,4700,North America,103,14000000
R,Drama,1983,3,938,North America,92,1223200
R,Horror,1983,6.3,6500,North America,109,5555305
PG,Drama,1983,7.6,4900,Europe,118,5310748
R,Horror,1983,6.6,2600,North America,102,11787127
R,Comedy,1983,5.3,2200,North America,110,10964740
R,Horror,1983,5.8,3000,North America,99,6670680
PG,Comedy,1983,4.6,3600,North America,99,10369581
PG,Action,1983,5.7,1100,North America,95,1262691
PG,Comedy,1983,6.6,3300,North America,98,17613720
PG,Comedy,1983,4.9,2100,North America,101,6347072
R,Comedy,1983,6.3,1700,North America,105,1867792
R,Drama,1983,6.6,1600,Europe,130,1772889
R,Drama,1983,6.6,1200,Europe,130,687475
PG,Biography,1983,6.7,1300,North America,113,272278
R,Drama,1983,5.9,701,North America,88,5269990
R,Comedy,1983,6.7,1100,North America,92,1645711
PG,Action,1983,6.2,2100,Oceania,99,1963756
PG,Horror,1983,5.5,2700,North America,94,1362303
PG,Action,1983,6,2100,North America,103,12049514
PG,Action,1983,3.8,1600,North America,84,5301085
R,Comedy,1983,3.7,208,North America,96,975414
R,Drama,1983,6.8,1600,North America,110,1530839
PG,Comedy,1983,5.2,747,North America,95,10171304
PG,Biography,1983,6.7,659,North America,106,3000000
R,Drama,1983,5.1,786,North America,100,1818910
PG,Comedy,1983,5.3,456,North America,91,4304286
R,Action,1983,4.3,617,Asia,86,1723487
R,Action,1983,3.8,513,North America,111,2443487
PG,Drama,1983,6.1,681,North America,122,2439705
PG,Comedy,1983,5.2,786,North America,103,6857733
PG,Drama,1983,6.1,368,North America,99,2314561
R,Horror,1983,4.9,360,Europe,89,108128
R,Comedy,1983,7.3,2200,North America,83,16156776
Not Rated,Drama,1983,7.2,826,North America,115,26177
PG,Drama,1983,5.3,313,North America,94,6666725
R,Horror,1983,6.3,28000,North America,84,11000000
R,Drama,1983,6.5,458,North America,110,151462
R,Action,1983,4.6,2300,Europe,89,1414828
PG,Biography,1983,7,1700,North America,127,200000
R,Comedy,1983,5.2,1700,North America,85,234950
PG,Comedy,1983,5.8,115,Europe,89,48731
